Trial,Angular Diameter,Alpha Value,Chi-Squared Value
0,1.6000000000000003,0.0,3.297013247874298
0,1.6000000000000003,0.01,3.2863401132348793
0,1.6000000000000003,0.02,3.278170703426401
0,1.6000000000000003,0.03,3.2722428126939094
0,1.6000000000000003,0.04,3.2683290929861415
0,1.6000000000000003,0.05,3.2662315748488226
0,1.6000000000000003,0.06,3.2657771783667906
0,1.6000000000000003,0.07,3.2668140141187934
0,1.6000000000000003,0.08,3.26920831868563
0,1.6000000000000003,0.09,3.2728419030412623
0,1.6000000000000003,0.1,3.277610017970421
0,1.6000000000000003,0.11,3.2834195605238015
0,1.6000000000000003,0.12,3.2901875609230826
0,1.6000000000000003,0.13,3.297839901349029
0,1.6000000000000003,0.14,3.306310227492453
0,1.6000000000000003,0.15,3.315539021220962
0,1.6000000000000003,0.16,3.3254728086671896
0,1.6000000000000003,0.17,3.336063482820182
0,1.6000000000000003,0.18,3.34726772356379
0,1.6000000000000003,0.19,3.359046501258036
0,1.6000000000000003,0.2,3.371364652560781
0,1.6000000000000003,0.21,3.384190519364212
0,1.6000000000000003,0.22,3.3974956435770904
0,1.6000000000000003,0.23,3.411254512105634
0,1.6000000000000003,0.24,3.4254443478496244
0,1.6000000000000003,0.25,3.440044943906087
0,1.6000000000000003,0.26,3.455038539531567
0,1.6000000000000003,0.27,3.4704097378319827
0,1.6000000000000003,0.28,3.486145466715161
0,1.6000000000000003,0.29,3.5022349864671924
0,1.6000000000000003,0.3,3.5186699495452447
0,1.6000000000000003,0.31,3.535444521016638
0,1.6000000000000003,0.32,3.55255557179766
0,1.6000000000000003,0.33,3.5700029618608204
0,1.6000000000000003,0.34,3.587789937481356
0,1.6000000000000003,0.35000000000000003,3.6059236762718614
0,1.6000000000000003,0.36,3.6244160275609776
0,1.6000000000000003,0.37,3.643284515699772
0,1.6000000000000003,0.38,3.6625537034199356
0,1.6000000000000003,0.39,3.682257056701777
0,1.61,0.0,3.343996955178293
0,1.61,0.01,3.3212489274926305
0,1.61,0.02,3.3023196374495933
0,1.61,0.03,3.2867615477612167
0,1.61,0.04,3.274192943772952
0,1.61,0.05,3.2642865116414628
0,1.61,0.06,3.2567601830241903
0,1.61,0.07,3.251369744232683
0,1.61,0.08,3.2479028299760717
0,1.61,0.09,3.2461740117648175
